epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,89.9612,1.72128,2.19097,0.88256,0.9246,0.86829,0.92145,0.95496,0.5357,0.84978,0.896,0.90713,0.31801,1.55301,2.10577,0.77045,0.95401,0.00134129,0.00134129,0.00134129
64,91.2142,1.73019,2.28054,0.91106,0.94898,0.88638,0.95546,0.96878,0.50723,0.85696,0.90376,0.89768,0.39646,1.64427,2.24953,0.95462,0.97374,0.00133987,0.00133987,0.00133987
65,92.4686,1.64514,2.21909,0.83998,0.95334,0.88638,0.95546,0.96878,0.50723,0.85696,0.90376,0.89768,0.39646,1.64427,2.24953,0.95462,0.97374,0.00133846,0.00133846,0.00133846
66,93.729,1.87534,2.20673,0.87826,0.99552,0.85686,0.94445,0.95657,0.53902,0.8301,0.89477,0.88141,0.34747,1.50007,2.26455,0.89869,0.94753,0.00133704,0.00133704,0.00133704
67,94.9998,1.74183,2.13603,0.90924,0.96701,0.85686,0.94445,0.95657,0.53902,0.8301,0.89477,0.88141,0.34747,1.50007,2.26455,0.89869,0.94753,0.00133563,0.00133563,0.00133563
68,96.2715,1.84457,2.20937,0.8796,0.96005,0.85088,0.82192,0.9043,0.47069,0.78178,0.75372,0.80532,0.28862,1.60349,2.11469,0.83558,0.95449,0.00133421,0.00133421,0.00133421
69,97.5226,1.58612,2.02384,0.87631,0.93215,0.85088,0.82192,0.9043,0.47069,0.78178,0.75372,0.80532,0.28862,1.60349,2.11469,0.83558,0.95449,0.0013328,0.0013328,0.0013328
70,98.7898,1.7414,2.30063,0.87928,0.92972,0.88032,0.8633,0.90387,0.39145,0.75641,0.72999,0.68662,0.20279,1.77317,2.01077,0.93065,0.98397,0.00133139,0.00133139,0.00133139
71,100.065,1.76884,1.86293,0.85365,0.95979,0.88032,0.8633,0.90387,0.39145,0.75641,0.72999,0.68662,0.20279,1.77317,2.01077,0.93065,0.98397,0.00132997,0.00132997,0.00132997
72,101.392,1.73051,2.11718,0.87119,0.93253,0.86649,0.88697,0.92721,0.4521,0.79759,0.83267,0.82232,0.26011,1.69014,1.88621,0.89779,0.97461,0.00132856,0.00132856,0.00132856
73,102.642,1.51853,1.80398,0.89123,0.96311,0.86649,0.88697,0.92721,0.4521,0.79759,0.83267,0.82232,0.26011,1.69014,1.88621,0.89779,0.97461,0.00132714,0.00132714,0.00132714
74,103.92,1.73932,2.12865,0.89653,0.94927,0.93145,0.89073,0.95572,0.53112,0.91838,0.87955,0.93607,0.39105,1.58176,1.98985,0.7583,0.95273,0.00132573,0.00132573,0.00132573
75,105.154,1.57938,2.13766,0.86678,0.90487,0.93145,0.89073,0.95572,0.53112,0.91838,0.87955,0.93607,0.39105,1.58176,1.98985,0.7583,0.95273,0.00132431,0.00132431,0.00132431
